orgid,name,sectorid
93,Delaware Valley Regional Planning Commission,10
93,Delaware Valley Regional Planning Commission,12
93,Delaware Valley Regional Planning Commission,16
95,Delaware Valley Sustainability Listserve,16
96,DIGSAU,2
96,DIGSAU,16
97,dMackComputerTutor,4
97,dMackComputerTutor,14
97,dMackComputerTutor,16
98,"down2earth adventures, LLC",13
98,"down2earth adventures, LLC",16
99,Doylestown Farmers Market,8
99,Doylestown Farmers Market,11
100,EAC Network (municipal Enviro. Advisory Councils),5
100,EAC Network (municipal Enviro. Advisory Councils),10
100,EAC Network (municipal Enviro. Advisory Councils),12
100,EAC Network (municipal Enviro. Advisory Councils),14
100,EAC Network (municipal Enviro. Advisory Councils),16
100,EAC Network (municipal Enviro. Advisory Councils),17
100,EAC Network (municipal Enviro. Advisory Councils),18
101,Earth First! Philadelphia,18
102,Earth Mart,2
102,Earth Mart,3
102,Earth Mart,8
102,Earth Mart,16
103,Earth Rising Homes,2
103,Earth Rising Homes,3
103,Earth Rising Homes,5
103,Earth Rising Homes,16
104,Earthcare Working Group of Philadelphia,5
104,Earthcare Working Group of Philadelphia,6
104,Earthcare Working Group of Philadelphia,7
104,Earthcare Working Group of Philadelphia,9
104,Earthcare Working Group of Philadelphia,16
105,Earthright,4
106,"East Coast Greenway Alliance, The",13
107,East33.org,6
107,East33.org,10
107,East33.org,11
107,East33.org,17
107,East33.org,18
108,Eastern PA Permaculture Guild,10
108,Eastern PA Permaculture Guild,16
109,"ECO Task Force, Main Line Unitarian Church",1
109,"ECO Task Force, Main Line Unitarian Church",2
109,"ECO Task Force, Main Line Unitarian Church",5
109,"ECO Task Force, Main Line Unitarian Church",7
109,"ECO Task Force, Main Line Unitarian Church",8
109,"ECO Task Force, Main Line Unitarian Church",9
109,"ECO Task Force, Main Line Unitarian Church",11
109,"ECO Task Force, Main Line Unitarian Church",14
109,"ECO Task Force, Main Line Unitarian Church",17
110,Eco-Man,4
110,Eco-Man,14
111,Eco-merica Conservation Center,1
111,Eco-merica Conservation Center,2
111,Eco-merica Conservation Center,4
111,Eco-merica Conservation Center,5
111,Eco-merica Conservation Center,9
111,Eco-merica Conservation Center,11
111,Eco-merica Conservation Center,14
111,Eco-merica Conservation Center,16
111,Eco-merica Conservation Center,17
111,Eco-merica Conservation Center,19
112,EcoVet,4
112,EcoVet,14
112,EcoVet,17
112,EcoVet,18
112,EcoVet,19
113,Effect Partners,3
113,Effect Partners,5
113,Effect Partners,6
113,Effect Partners,16
113,Effect Partners,17
113,Effect Partners,18
114,Elk Creeks Watershed Association,10
114,Elk Creeks Watershed Association,17
114,Elk Creeks Watershed Association,18
115,Empirical Point Philadelphia Acupuncture,9
116,Energy Cooperative,2
116,Energy Cooperative,5
116,Energy Cooperative,16
117,Energy Coordinating Agency,2
117,Energy Coordinating Agency,3
117,Energy Coordinating Agency,5
117,Energy Coordinating Agency,16
118,Energy Justice Network,5
118,Energy Justice Network,6
118,Energy Justice Network,12
119,Environment New Jersey,1
119,Environment New Jersey,5
119,Environment New Jersey,9
119,Environment New Jersey,10
119,Environment New Jersey,12
119,Environment New Jersey,17
119,Environment New Jersey,18
120,Environmental Leadership Program - Eastern Regional Network,1
120,Environmental Leadership Program - Eastern Regional Network,2
120,Environmental Leadership Program - Eastern Regional Network,3
120,Environmental Leadership Program - Eastern Regional Network,4
120,Environmental Leadership Program - Eastern Regional Network,5
120,Environmental Leadership Program - Eastern Regional Network,6
120,Environmental Leadership Program - Eastern Regional Network,7
120,Environmental Leadership Program - Eastern Regional Network,8
120,Environmental Leadership Program - Eastern Regional Network,9
120,Environmental Leadership Program - Eastern Regional Network,10
120,Environmental Leadership Program - Eastern Regional Network,11
120,Environmental Leadership Program - Eastern Regional Network,12
120,Environmental Leadership Program - Eastern Regional Network,13
120,Environmental Leadership Program - Eastern Regional Network,14
120,Environmental Leadership Program - Eastern Regional Network,15
120,Environmental Leadership Program - Eastern Regional Network,16
120,Environmental Leadership Program - Eastern Regional Network,17
120,Environmental Leadership Program - Eastern Regional Network,18
121,Eos Energy Solutions,2
121,Eos Energy Solutions,5
122,Epoch Solar Innovations,2
122,Epoch Solar Innovations,5
122,Epoch Solar Innovations,16
123,Eviama Life Spa,9
124,"Exclusively Green, LLC",16
125,Executive Education for the Environment,3
125,Executive Education for the Environment,4
126,Fairmount Park Commission,4
126,Fairmount Park Commission,6
126,Fairmount Park Commission,10
126,Fairmount Park Commission,12
126,Fairmount Park Commission,13
126,Fairmount Park Commission,17
126,Fairmount Park Commission,18
127,Fairmount Water Works Interpretive Center,4
127,Fairmount Water Works Interpretive Center,13
127,Fairmount Water Works Interpretive Center,17
128,Farm Park Preservation Association,4
128,Farm Park Preservation Association,11
128,Farm Park Preservation Association,13
128,Farm Park Preservation Association,17
128,Farm Park Preservation Association,18
128,Farm Park Preservation Association,19
129,Farm to City,8
129,Farm to City,11
129,Farm to City,16
130,Food and Water Watch: Fair Farm Campaign,8
130,Food and Water Watch: Fair Farm Campaign,9
130,Food and Water Watch: Fair Farm Campaign,11
130,Food and Water Watch: Fair Farm Campaign,16
131,Food Trust (The),6
131,Food Trust (The),8
131,Food Trust (The),11
132,Footprint,3
132,Footprint,16
133,Forever Stone LLC,2
133,Forever Stone LLC,11
133,Forever Stone LLC,14
134,Foundation For A Better Society,2
134,Foundation For A Better Society,3
134,Foundation For A Better Society,6
135,Franklin Institute (The),1
135,Franklin Institute (The),2
135,Franklin Institute (The),3
135,Franklin Institute (The),4
135,Franklin Institute (The),5
135,Franklin Institute (The),6
135,Franklin Institute (The),9
135,Franklin Institute (The),10
135,Franklin Institute (The),12
135,Franklin Institute (The),14
135,Franklin Institute (The),16
135,Franklin Institute (The),17
136,Freecycle  (in Phila. and around our region),14
137,French & Pickering Creeks Conservation Trust,10
137,French & Pickering Creeks Conservation Trust,17
137,French & Pickering Creeks Conservation Trust,18
138,Friends Center Corporation,2
138,Friends Center Corporation,4
138,Friends Center Corporation,5
138,Friends Center Corporation,6
138,Friends Center Corporation,7
139,Friends of Evansburg State Park,18
140,Friends of Fox Chase Farm,11
140,Friends of Fox Chase Farm,18
141,Friends of High School Park,13
141,Friends of High School Park,18
142,Friends of Peace Valley Nature Center,4
142,Friends of Peace Valley Nature Center,13
142,Friends of Peace Valley Nature Center,18
143,Friends of Pennypack Park,17
143,Friends of Pennypack Park,18
144,Friends of Philadelphia Parks,11
144,Friends of Philadelphia Parks,18
145,Friends of Poquessing Watershed,17
145,Friends of Poquessing Watershed,18
146,Friends of Ridley Creek State Park,18
147,Friends of Tamanend Park,18
148,Friends of the Delaware Canal,13
148,Friends of the Delaware Canal,17
148,Friends of the Delaware Canal,18
149,Friends of the Willows Cottage,4
149,Friends of the Willows Cottage,5
149,Friends of the Willows Cottage,6
149,Friends of the Willows Cottage,9
149,Friends of the Willows Cottage,16
150,Friends of the Wissahickon,4
150,Friends of the Wissahickon,18
151,Friends of the Wissahickon,13
151,Friends of the Wissahickon,17
151,Friends of the Wissahickon,18
152,Friends Saturday Music Gathering,8
152,Friends Saturday Music Gathering,13
153,Genesis Farm,4
153,Genesis Farm,5
153,Genesis Farm,11
153,Genesis Farm,16
154,GenGreen Life,1
154,GenGreen Life,2
154,GenGreen Life,3
154,GenGreen Life,4
154,GenGreen Life,5
154,GenGreen Life,6
154,GenGreen Life,7
154,GenGreen Life,8
154,GenGreen Life,9
154,GenGreen Life,10
154,GenGreen Life,11
154,GenGreen Life,12
154,GenGreen Life,13
154,GenGreen Life,14
154,GenGreen Life,15
154,GenGreen Life,16
154,GenGreen Life,17
154,GenGreen Life,18
155,Glenside Farmers' Market,8
155,Glenside Farmers' Market,11
156,Government Affairs Society,4
156,Government Affairs Society,12
156,Government Affairs Society,14
157,Great Circle Writing Services,3
158,Great Valley Nature Center,4
158,Great Valley Nature Center,13
158,Great Valley Nature Center,18
159,Greater Philadelphia Chamber of Commerce,3
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),1
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),2
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),3
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),4
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),5
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),6
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),10
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),11
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),14
160,Greater Philadelphia Chapter of the Association of Energy Engineers (AEE),16
161,Greater Philadelphia Clean Cities Program,1
161,Greater Philadelphia Clean Cities Program,5
161,Greater Philadelphia Clean Cities Program,12
162,Greater Philadelphia Commercial Recycling Council,2
162,Greater Philadelphia Commercial Recycling Council,3
162,Greater Philadelphia Commercial Recycling Council,5
162,Greater Philadelphia Commercial Recycling Council,12
162,Greater Philadelphia Commercial Recycling Council,14
162,Greater Philadelphia Commercial Recycling Council,16
163,Greater Philly Environmental Network (GPEN),1
163,Greater Philly Environmental Network (GPEN),2
163,Greater Philly Environmental Network (GPEN),3
